"","title","link","price","category","location","upload_time"
"1","  TV állvány, PC asztal, éjjeli asztal   ","https://www.jofogas.hu/budapest/TV_allvany__PC_asztal__ejjeli_asztal_112751674.htm","11 000","Egyéb","     Budapest  , II. kerület      ","ma, 12:43"
"2","  Sakk asztal egyedi   ","https://www.jofogas.hu/budapest/Sakk_asztal_egyedi_111445428.htm","50 000","Egyéb","     Budapest  , XIII. kerület      ","tegnap, 18:26"
"3","  Ingyen elvihető asztal   ","https://www.jofogas.hu/budapest/Ingyen_elviheto_asztal_112754948.htm","","Asztalok, székek","     Budapest  , IV. kerület      ","ma, 13:26"
"4","  IKEA Byske állítható asztal lábak Eladóak!   ","https://www.jofogas.hu/budapest/IKEA_Byske_allithato_asztal_labak_Eladoak__112754763.htm","4 500","Egyéb","     Budapest  , III. kerület      ","ma, 13:23"
"5","  Fekete, kerek nagyon szép állapotú IKEA asztal   ","https://www.jofogas.hu/budapest/Fekete__kerek_nagyon_szep_allapotu_IKEA_asztal_112754674.htm","25 000","Asztalok, székek","     Budapest  , VI. kerület      ","ma, 13:22"
"6","  Tálaló szekrény és étkező asztal székekkel   ","https://www.jofogas.hu/pest/Talalo_szekreny_es_etkezo_asztal_szekekkel_112754459.htm","140 000","Konyhabútor","     Pest  , Szigetcsép      ","ma, 13:18"
"7","  Számítógép asztal   ","https://www.jofogas.hu/tolna/Szamitogep_asztal_112754296.htm","10 000","Asztalok, székek","     Tolna  , Zomba      ","ma, 13:15"
"8","  Kovácsoltvas konzol asztal üveg tetővel   ","https://www.jofogas.hu/budapest/Kovacsoltvas_konzol_asztal_uveg_tetovel_112754155.htm","15 000","Asztalok, székek","     Budapest  , XV. kerület      ","ma, 13:12"
"9","  Szervírozó üvegpolcos, gurulós asztal   ","https://www.jofogas.hu/budapest/Szervirozo_uvegpolcos__gurulos_asztal_112754086.htm","15 000","Asztalok, székek","     Budapest  , VII. kerület      ","ma, 13:09"
"10","  Asztal 2db fotellel   ","https://www.jofogas.hu/veszprem/Asztal_2db_fotellel_112753388.htm","10 000","Fotelek, kanapék, ülőgarnitúrák","     Veszprém  , Padragkút      ","ma, 12:52"
